Fecha,Muestreo No,Punto de muestreo,Punto,Rio,Cordenadas,ICA_IDEAM,OD (%),pH,DQO (mg/L),CE (µS/cm),SST (mg/L)
"Septiembre 4 de 2015,1,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,3.455889; -76.571089 ,0.73,74.59,7.43,19,275,5.2"
"Julio 29 de 2016,1,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,3.455889; -76.571089 ,0.73,77.35,7.88,18.1,300,15.25"
"Septiembre 4 de 2015,1,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,3.459351; -76.555948 ,0.69,75.85,7.64,24.6,530,7.25"
"Septiembre 4 de 2015,1,""Salida(El Ancla-antes de desembocar el Rio Cali ,Salida,Aguacatal,3.457582; -76.561671 ,0.68,70.94,7.7,21.5,526,5.6"
"Septiembre 11 de 2015,1,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,3.454159; -76.582725 ,0.88,100.77,7.15,8,164.9,1.75"
"Septiembre 11 de 2015,1,""Intermedio (Despues de la entrega del Rio Aguacatal-Frente al Museo La Tertulia ,Intermedio,Cali,3.450854; -76.545478 ,0.74,99.54,7.43,24.32,472,16"
"Septiembre 11 de 2015,1,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,3.488176; -76.503429 ,0.64,78.03,8.52,23,435,28"
"Septiembre 11 de 2015,1,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,3.462238; -76.522464 ,0.7,88.07,8.46,16,472,16"
"Septiembre 11 de 2015,1,""Intermedio (Frente al barrio La Isla.Puente Cancha Vivero ,Intermedio,Cali,3.472989; -76.514449 ,0.68,78.32,8.54,18,420,24"
"Septiembre 11 de 2015,1,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,3.505551; -76.494079 ,0.49,62.14,6.58,207,650,48"
"Septiembre 9 de 2015,1,Entrada al perimetro urbano (Colegio Ideas),Entrada,Canaveralejo,3.411012; -76.568899 ,0.74,65.45,7.06,12.17,239,6.8"
"Septiembre 9 de 2015,1,Intermedio  (Plaza de Toros),Intermedio,Canaveralejo,3.410114; -76.548981 ,0.73,63.89,7.25,8.2,247,1.6"
"Septiembre 9 de 2015,1,""Salida (Antes de desemboocar al Canal Sur-Cra 50 Cll 17 ,Salida,Canaveralejo,3.406276; -76.526477 ,0.3,39.94,6.35,73.03,404,298"
"Septiembre 3 de 2015,1,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,3.363799; -76.544643 ,0.58,91.5,3.92,8,436,2.4"
"Septiembre 3 de 2015,1,Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31),Intermedio,Lili,3.365467; -76.531406 ,0.6,60.49,5.54,9.8,377,3"
"Septiembre 3 de 2015,1,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,3.362489; -76.523748 ,0.68,85.51,6.1,10.4,355,3.4"
"Septiembre 8 de 2015,1,""Entrada al perimetro urbano (Via a La Buitrera-puente Base Militar ,Entrada,Melendez,3.376495; -76.562282 ,0.86,92.97,7.7,16.89,166.8,11.6"
"Septiembre 8 de 2015,1,""Intermedio  (Av Simon Bolivar-Cra 80 Simon Bolivar ,Intermedio,Melendez,3.387783; -76.523454 ,0.77,56.72,7.62,9.74,171.2,30"
"Septiembre 8 de 2015,1,""Intermedio (Pasoancho-Cra 80 Con Cll13 ,Intermedio,Melendez,3.383499; -76.53819 ,0.8,64.89,7.78,8.48,158.2,27.6"
"Septiembre 8 de 2015,1,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,3.388238; -76.511798 ,0.41,0,7.23,115,533,37"
"Septiembre 2 de 2015,1,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,3.337867; -76.550058 ,0.94,98.27,6.79,8,53.4,1.6"
"Septiembre 2 de 2015,1,""Intermedio (Mina Material de arrastre-Entrada via destapada ,Intermedio,Pance,3.319117; -76.547228 ,0.94,94.63,7.6,8,66.2,2.4"
"Septiembre 2 de 2015,1,""Salida ( Puente La Viga-Via Cañas Gordas ,Salida,Pance,3.310437; -76.543845 ,0.91,93.5,8.25,8.1,67.2,2"
"Julio 29 de 2016,1,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,3.459351; -76.555948 ,0.71,70.52,7.77,19.3,414,25.5"
"Julio 29 de 2016,1,""Salida(El Ancla-antes de desembocar el Rio Cali ,Salida(El,Aguacatal,3.457582; -76.561671 ,0.54,60.11,7.87,69,803,68.6"
"Agosto 4 de 2016,1,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,3.454159; -76.582725 ,0.91,101.61,8.03,12,118.8,7"
"Agosto 4 de 2016,1,""Intermedio (Despues de la entrega del Rio Aguacatal-Frente al Museo La Tertulia ,Intermedio,Cali,3.450854; -76.545478 ,0.74,79.52,7.62,14.31,286,13"
"Agosto 4 de 2016,1,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,3.462238; -76.522464 ,0.75,86.69,7.91,12,260,12"
"Agosto 4 de 2016,1,""Intermedio (Frente al barrio La Isla-Puente Cancha Vivero ,Intermedio,Cali,3.472989; -76.514449 ,0.74,96.79,6.77,19.4,261,32.5"
"Agosto 4 de 2016,1,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,3.488176; -76.503429 ,0.74,89.79,7.37,18.01,276,35.5"
"Agosto 4 de 2016,1,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,3.505551; -76.494079 ,0.47,31.7,7.45,177.11,438,45"
"Agosto 2 de 2016,1,Entrada al perimetro urbano (Colegio Ideas),Entrada,Canaveralejo,3.411012; -76.568899 ,0.79,70.01,7.63,12,202.4,7"
"Agosto 2 de 2016,1,Intermedio  (Plaza de Toros),Intermedio,Canaveralejo,3.410114; -76.548981 ,0.77,65.56,7.67,12,211.8,7"
"Agosto 1 de 2016,1,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,3.363799; -76.544643 ,0.52,46.29,4,12,448,7"
"Agosto 1 de 2016,1,Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31),Intermedio,Lili,3.365467; -76.531406 ,0.72,68.26,6.61,12,226,7"
"Agosto 1 de 2016,1,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,3.362489; -76.523748 ,0.76,71.89,6.65,13,199.1,7"
